2008-02-02,13:42:25,116.45186,39.93225
2008-02-02,13:47:26,116.46777,39.93235
2008-02-02,13:52:28,116.47501,39.9323
2008-02-02,13:57:30,116.4709,39.90385
2008-02-02,16:41:45,116.44371,39.90507
2008-02-02,16:46:45,116.44718,39.90267
2008-02-02,16:55:49,116.45347,39.90674
2008-02-02,17:00:51,116.45503,39.90852
2008-02-02,17:05:53,116.45567,39.92123
2008-02-02,17:10:55,116.45563,39.93946
2008-02-02,17:15:56,116.44984,39.95548
2008-02-02,17:20:58,116.42276,39.96822
2008-02-02,17:31:02,116.37305,39.96679
2008-02-02,17:36:03,116.33964,39.96634
2008-02-02,17:41:05,116.31024,39.96402
2008-02-02,17:46:07,116.30225,39.96027
2008-02-02,17:51:09,116.3034,39.95091
2008-02-02,17:56:11,116.30369,39.94274
2008-02-02,18:01:13,116.30362,39.93785
2008-02-02,18:06:14,116.30378,39.93284
2008-02-02,18:11:16,116.2825,39.93006
